=== Surface code memory baseline (FT R&D step 1) ===

distance  rounds    p_phys  shots  errors   p_logical  suppression
---------------------------------------------------------------------------
         3       5   1.0e-02   5000     473   9.460e-02         0.1x
         5       5   1.0e-02   5000     515   1.030e-01         0.1x
         7       5   1.0e-02   5000     445   8.900e-02         0.1x

         3       5   3.0e-03   5000      63   1.260e-02         0.2x
         5       5   3.0e-03   5000      22   4.400e-03         0.7x
         7       5   3.0e-03   5000       3   6.000e-04         5.0x

         3       5   1.0e-03  20000      21   1.050e-03         1.0x
         5       5   1.0e-03  20000       2   1.000e-04        10.0x
         7       5   1.0e-03  20000       0   0.000e+00 1000000000.0x

         3       5   3.0e-04  20000       3   1.500e-04         2.0x
         5       5   3.0e-04  20000       0   0.000e+00 300000000.0x
         7       5   3.0e-04  20000       0   0.000e+00 300000000.0x

